Date,Open,High,Low,Close,AdjClose,Volume
2024-10-9, 73.84, 74.45, 71.53, 73.24, 73.24, 401159
2024-10-8, 77.33, 78.46, 72.69, 73.57, 73.57, 496760
2024-10-7, 74.40, 77.40, 73.62, 77.14, 77.14, 419018
2024-10-4, 73.95, 75.57, 73.46, 74.38, 74.38, 428815
2024-10-3, 70.98, 74.09, 70.52, 73.71, 73.71, 460554
2024-10-2, 70.80, 72.49, 69.87, 70.10, 70.10, 429225
2024-10-1, 68.41, 71.94, 66.33, 69.83, 69.83, 668216
2024-9-30, 68.63, 69.32, 67.57, 68.17, 68.17, 350115
2024-9-27, 67.45, 68.65, 67.06, 68.18, 68.18, 341133
2024-9-26, 69.89, 70.01, 66.95, 67.67, 67.67, 478069
2024-9-25, 71.54, 71.72, 69.23, 69.69, 69.69, 476237
2024-9-24, 70.76, 72.40, 70.44, 71.56, 71.56, 318516
2024-9-23, 71.31, 71.81, 69.49, 70.37, 70.37, 338267
2024-9-20, 72.10, 72.40, 71.36, 71.92, 71.92, 306997
2024-9-19, 70.13, 72.49, 70.13, 71.95, 71.95, 86630
2024-9-18, 71.14, 71.48, 69.73, 70.91, 70.91, 102907
2024-9-17, 70.50, 71.92, 69.61, 71.19, 71.19, 251629
2024-9-16, 69.16, 70.70, 68.65, 70.09, 70.09, 295176
2024-9-13, 69.31, 70.32, 68.47, 68.65, 68.65, 308983
2024-9-12, 67.39, 69.81, 67.24, 68.97, 68.97, 351976
2024-9-11, 66.28, 67.97, 65.63, 67.31, 67.31, 393311
2024-9-10, 68.78, 69.08, 65.27, 65.75, 65.75, 442855
2024-9-9, 68.13, 68.96, 67.31, 68.71, 68.71, 351074
2024-9-6, 69.33, 70.13, 67.17, 67.67, 67.67, 351074
2024-9-5, 69.27, 70.82, 68.75, 69.15, 69.15, 405596
2024-9-4, 70.28, 71.46, 68.82, 69.20, 69.20, 482025
2024-9-3, 73.53, 74.41, 70.10, 70.34, 70.34, 546617
2024-8-30, 75.87, 76.59, 73.36, 73.55, 73.55, 427273
2024-8-29, 74.42, 76.91, 74.05, 75.91, 75.91, 408147
2024-8-28, 75.75, 75.95, 73.82, 74.52, 74.52, 337361
2024-8-27, 77.20, 77.48, 75.40, 75.53, 75.53, 331162
2024-8-26, 75.10, 77.60, 75.04, 77.42, 77.42, 409675
2024-8-23, 72.96, 75.07, 72.83, 74.83, 74.83, 313764
2024-8-22, 71.93, 73.52, 71.58, 73.01, 73.01, 334117
2024-8-21, 73.12, 74.16, 71.46, 71.93, 71.93, 390527
2024-8-20, 74.34, 75.03, 73.50, 74.04, 74.04, 329276
